price,type,address,url,postcode,number_bedrooms,search_date
550000.0,3 bedroom end of terrace house for sale,"Smithwood Close, London",/property-for-sale/property-44178096.html,,3,11/10/2016
34500000.0,10 bedroom terraced house for sale,"Wilton Crescent, Belgravia, London, SW1X",/property-for-sale/property-62443757.html,SW1X,10,11/10/2016
33000000.0,6 bedroom end of terrace house for sale,"Wilton Mews, Belgravia, London, SW1X",/property-for-sale/property-62443778.html,SW1X,6,11/10/2016
19500000.0,6 bedroom terraced house for sale,"Wilton Crescent, Belgravia, London, SW1X",/property-for-sale/property-62443769.html,SW1X,6,11/10/2016
18000000.0,7 bedroom town house for sale,"Hertford Street, Mayfair, London W1J",/property-for-sale/property-62460674.html,W1J,7,11/10/2016
11995000.0,4 bedroom penthouse for sale,"Chelsea Island, 
Harbour Avenue, 
SW10 ",/new-homes-for-sale/property-62431535.html,SW10,4,11/10/2016
11250000.0,5 bedroom end of terrace house for sale,"Ennismore Gardens, Knightsbridge, London, SW7",/property-for-sale/property-62443772.html,SW7,5,11/10/2016
11000000.0,3 bedroom apartment for sale,"Cambridge Gate, Regent's Park",/property-for-sale/property-44814516.html,,3,11/10/2016
9750000.0,5 bedroom apartment for sale,"Palace Court, London, W2",/property-for-sale/property-62437478.html,W2,5,11/10/2016
8750000.0,3 bedroom apartment for sale,"Duke Street, London, W1K",/property-for-sale/property-56459566.html,W1K,3,11/10/2016
7250000.0,6 bedroom detached house for sale,"Cathcart Road, Chelsea, London, SW10",/property-for-sale/property-62443601.html,SW10,6,11/10/2016
6575000.0,3 bedroom flat for sale,"Ingestre Place,
Soho
London,
W1F 0DF",/new-homes-for-sale/property-44516331.html,W1F,3,11/10/2016
6550000.0,3 bedroom terraced house for sale,"Pavilion Road, London, SW1X",/new-homes-for-sale/property-62443781.html,SW1X,3,11/10/2016
6250000.0,3 bedroom apartment for sale,"Cholmeley Park, Highgate Village, N6",/property-for-sale/property-56457004.html,N6,3,11/10/2016
6250000.0,3 bedroom apartment for sale,"Cholmeley Park, Highgate Village, London, N6",/new-homes-for-sale/property-62436689.html,N6,3,11/10/2016
5995000.0,5 bedroom terraced house for sale,"Oakley Street, London, SW3",/property-for-sale/property-56459458.html,SW3,5,11/10/2016
5975000.0,5 bedroom terraced house for sale,"Chapel Street, London, SW1X",/property-for-sale/property-56446396.html,SW1X,5,11/10/2016
5950000.0,2 bedroom apartment for sale,"Eaton Square, London, SW1W",/property-for-sale/property-56455582.html,SW1W,2,11/10/2016
5775000.0,4 bedroom detached house for sale,"Wellington Road, St John's Wood",/property-for-sale/property-61749278.html,,4,11/10/2016
5750000.0,6 bedroom terraced house for sale,"Halsey Street, London, SW3",/property-for-sale/property-44818155.html,SW3,6,11/10/2016
5500000.0,5 bedroom terraced house for sale,"Kinnerton Street, London, SW1X",/property-for-sale/property-53278262.html,SW1X,5,11/10/2016
5000000.0,2 bedroom flat for sale,"South Audley Street, London, W1K",/property-for-sale/property-44790408.html,W1K,2,11/10/2016
5000000.0,2 bedroom flat for sale,"South Audley Street, Mayfair, London, W1K",/property-for-sale/property-62443616.html,W1K,2,11/10/2016
5000000.0,5 bedroom apartment for sale,"Knightsbridge, SW1X",/property-for-sale/property-56452855.html,SW1X,5,11/10/2016
5000000.0,4 bedroom terraced house for sale,"Durham Place, Chelsea, London, SW3",/property-for-sale/property-62443784.html,SW3,4,11/10/2016
550000.0,2 bedroom flat for sale,"Rotherwood Road, Putney, SW15 ",/property-for-sale/property-55136407.html,SW15,2,11/10/2016
4750000.0,6 bedroom detached house for sale,"Belsize Lane, Belsize Park, London, NW3",/property-for-sale/property-40087797.html,NW3,6,11/10/2016
4200000.0,6 bedroom terraced house for sale,"St Charles Square, North Kensington, W10",/property-for-sale/property-44657268.html,W10,6,11/10/2016
4200000.0,3 bedroom apartment for sale,"Merano Residences, South Bank, London",/new-homes-for-sale/property-56480365.html,,3,11/10/2016
4180000.0,3 bedroom property for sale,"Green Street, London, W1K",/property-for-sale/property-44790495.html,W1K,3,11/10/2016
4150000.0,7 bedroom semi-detached house for sale,"Baskerville Road, London, SW18",/property-for-sale/property-60386585.html,SW18,7,11/10/2016
3995000.0,3 bedroom terraced house for sale,"Ovington Street, Knightsbridge, SW3",/property-for-sale/property-61549625.html,SW3,3,11/10/2016
3995000.0,5 bedroom terraced house for sale,"Clareville Grove, London, SW7",/property-for-sale/property-44811828.html,SW7,5,11/10/2016
3975000.0,3 bedroom mews house for sale,"Lexham Mews, Kensington, London, W8",/property-for-sale/property-44780748.html,W8,3,11/10/2016
3950000.0,2 bedroom apartment for sale,"Green Street, Mayfair W1",/property-for-sale/property-39031641.html,W1,2,11/10/2016
3750000.0,5 bedroom terraced house for sale,"Langton Street, Chelsea, London, SW10",/property-for-sale/property-44811822.html,SW10,5,11/10/2016
3750000.0,7 bedroom semi-detached house for sale,"Crediton Hill, West Hampstead, London, NW6",/property-for-sale/property-55029817.html,NW6,7,11/10/2016
3750000.0,5 bedroom flat for sale,"Belsize Park Gardens, Belsize Park, London",/property-for-sale/property-62452679.html,,5,11/10/2016
3695000.0,5 bedroom terraced house for sale,"Dewhurst Road, London, W14",/property-for-sale/property-61671317.html,W14,5,11/10/2016
3695000.0,5 bedroom terraced house for sale,"Dewhurst Road, Brook Green, London, W14",/property-for-sale/property-44667549.html,W14,5,11/10/2016
3595000.0,4 bedroom penthouse for sale,"Queen's Gate, South Kensington, London, SW7",/property-for-sale/property-44219886.html,SW7,4,11/10/2016
3550000.0,3 bedroom flat for sale,"Eaton Place, London",/property-for-sale/property-62444180.html,,3,11/10/2016
3500000.0,Property for sale,"Thames Quay Chelsea Harbour, London SW10",/property-for-sale/property-56450212.html,SW10,,11/10/2016
3500000.0,5 bedroom detached house for sale,"Marlborough Road, London, W4",/property-for-sale/property-56484277.html,W4,5,11/10/2016
3500000.0,3 bedroom mews house for sale,"Petersham Place, London, SW7",/property-for-sale/property-44794155.html,SW7,3,11/10/2016
3499999.0,4 bedroom terraced house for sale,"Kensington Court Place, London, W8",/property-for-sale/property-44086182.html,W8,4,11/10/2016
3499999.0,4 bedroom terraced house for sale,"Kensington Court Place, London, W8",/property-for-sale/property-38292072.html,W8,4,11/10/2016
3499999.0,4 bedroom terraced house for sale,"Kensington Court Place, Kensington, London",/property-for-sale/property-52755010.html,,4,11/10/2016
3499999.0,4 bedroom terraced house for sale,"Kensington Court Place, London, W8 5BJ",/property-for-sale/property-40244076.html,W8,4,11/10/2016
3450000.0,5 bedroom terraced house for sale,"Westmoreland Place, Pimlico, London, SW1V",/property-for-sale/property-52990819.html,SW1V,5,11/10/2016
2500000.0,5 bedroom terraced house for sale,"Gowan Avenue, London, SW6",/property-for-sale/property-44324700.html,SW6,5,11/10/2016
3450000.0,5 bedroom terraced house for sale,"Westmoreland Place, Pimlico, London, SW1V",/property-for-sale/property-52990819.html,SW1V,5,11/10/2016
3399888.0,3 bedroom maisonette for sale,"Hob Mews, Chelsea, SW10",/property-for-sale/property-44788998.html,SW10,3,11/10/2016
3350000.0,4 bedroom apartment for sale,"Bramham Gardens, London, SW5",/property-for-sale/property-44811930.html,SW5,4,11/10/2016
3295000.0,3 bedroom terraced house for sale,"Northumberland Place, Artesian Village, W2",/property-for-sale/property-55871873.html,W2,3,11/10/2016
3250000.0,2 bedroom apartment for sale,"Cadogan Gardens, London, SW3",/property-for-sale/property-41609460.html,SW3,2,11/10/2016
3250000.0,5 bedroom terraced house for sale,"Goldhurst Terrace, South Hampstead, London, NW6",/property-for-sale/property-41482755.html,NW6,5,11/10/2016
3250000.0,5 bedroom detached house for sale,"Queen Annes Gardens, London",/property-for-sale/property-62445155.html,,5,11/10/2016
3250000.0,4 bedroom terraced house for sale,"Chalcot Crescent, Primrose Hill, London, NW1",/property-for-sale/property-55004842.html,NW1,4,11/10/2016
3100000.0,5 bedroom semi-detached house for sale,"Melville Road, Barnes, London, SW13",/property-for-sale/property-41574861.html,SW13,5,11/10/2016
3000000.0,6 bedroom apartment for sale,"Ranelagh House, Elystan Place, SW3",/property-for-sale/property-40408425.html,SW3,6,11/10/2016
3000000.0,2 bedroom terraced house for sale,"Pembridge Mews, London, W11 3EQ",/property-for-sale/property-56479660.html,W11,2,11/10/2016
2999999.0,7 bedroom semi-detached house for sale,"Cromwell Avenue, Highgate Village, N6",/property-for-sale/property-44788476.html,N6,7,11/10/2016
2999950.0,4 bedroom house for sale,"Russell Gardens Mews, London",/property-for-sale/property-62189777.html,,4,11/10/2016
2950000.0,3 bedroom apartment for sale,"Iverna Court, London, W8",/property-for-sale/property-58564856.html,W8,3,11/10/2016
2910000.0,4 bedroom apartment for sale,"Kidderpore Green, Kidderpore Avenue, Hampstead, London, NW3",/new-homes-for-sale/property-56479270.html,NW3,4,11/10/2016
2850000.0,2 bedroom apartment for sale,"Riverwalk, 161 Millbank, Westminster, SW1P",/new-homes-for-sale/property-44813841.html,SW1P,2,11/10/2016
2800000.0,2 bedroom flat for sale,"Eaton Square, Belgravia, London, SW1W",/property-for-sale/property-52745995.html,SW1W,2,11/10/2016
2800000.0,2 bedroom flat for sale,"Eaton Square, London",/property-for-sale/property-53439625.html,,2,11/10/2016
2795000.0,4 bedroom apartment for sale,"Pinto Penthouse, Nine Elms, Wandsworth Road",/new-homes-for-sale/property-60807365.html,,4,11/10/2016
2750000.0,3 bedroom apartment for sale,"Flood Street, London, SW3",/property-for-sale/property-44817294.html,SW3,3,11/10/2016
2750000.0,5 bedroom semi-detached house for sale,"Thurleigh Road, Between The Commons, London, SW12",/property-for-sale/property-62465081.html,SW12,5,11/10/2016
2750000.0,3 bedroom maisonette for sale,"Flood Street, London, SW3",/property-for-sale/property-56459467.html,SW3,3,11/10/2016
2750000.0,2 bedroom apartment for sale,"Queen's Gate Place, London, SW7",/property-for-sale/property-44791314.html,SW7,2,11/10/2016
2650000.0,6 bedroom semi-detached house for sale,"Lowther Road, London",/property-for-sale/property-56450719.html,,6,11/10/2016
575000.0,2 bedroom flat for sale,"Whittington Mews, North Finchley, N12",/property-for-sale/property-44793954.html,N12,2,11/10/2016
2650000.0,4 bedroom terraced house for sale,"Billing Road, Chelsea, London, SW10",/property-for-sale/property-62461988.html,SW10,4,11/10/2016
2650000.0,6 bedroom semi-detached house for sale,"Lowther Road, London",/property-for-sale/property-56450719.html,,6,11/10/2016
2630000.0,3 bedroom flat for sale,"Westbourne Terrace, Bayswater",/property-for-sale/property-44779806.html,,3,11/10/2016
2630000.0,3 bedroom flat for sale,"Westbourne Terrace, London",/property-for-sale/property-56184277.html,,3,11/10/2016
2630000.0,3 bedroom maisonette for sale,"Westbourne Terrace, London, W2",/property-for-sale/property-56460787.html,W2,3,11/10/2016
2500000.0,6 bedroom terraced house for sale,"Lillieshall Road, London, SW4",/property-for-sale/property-44149725.html,SW4,6,11/10/2016
2500000.0,1 bedroom apartment for sale,"The Knightsbridge, 199 Knightsbridge, London",/property-for-sale/property-44807460.html,,1,11/10/2016
2500000.0,5 bedroom terraced house for sale,"Gowan Avenue, London, SW6",/property-for-sale/property-61976246.html,SW6,5,11/10/2016
2500000.0,5 bedroom terraced house for sale,"Gowan Avenue, London, SW6",/property-for-sale/property-44324700.html,SW6,5,11/10/2016
,1 bedroom apartment for sale,"Duke Street, London, W1K",/property-for-sale/property-56453266.html,W1K,1,11/10/2016
2500000.0,3 bedroom property for sale,"Clanricarde Gardens, Notting Hill",/property-for-sale/property-56484274.html,,3,11/10/2016
2495000.0,3 bedroom flat for sale,"Queen's Gate Gardens, South Kensington, London",/property-for-sale/property-55897144.html,,3,11/10/2016
2495000.0,3 bedroom flat for sale,"Queen's Gate Gardens, London, SW7",/property-for-sale/property-43098864.html,SW7,3,11/10/2016
2475000.0,4 bedroom flat for sale,"Warrington Crescent, Little Venice",/property-for-sale/property-62363699.html,,4,11/10/2016
2450000.0,4 bedroom semi-detached house for sale,"Harvist Road, Queens Park, London",/property-for-sale/property-56469043.html,,4,11/10/2016
2450000.0,3 bedroom penthouse for sale,"New Crane Wharf, 8 New Crane Place, London, E1W",/property-for-sale/property-55347364.html,E1W,3,11/10/2016
2450000.0,3 bedroom cottage for sale,"Squires Mount, Hampstead Village, NW3",/property-for-sale/property-62457944.html,NW3,3,11/10/2016
2450000.0,3 bedroom flat for sale,"Stanford Court, 45 Cornwall Gardens, London",/property-for-sale/property-62440295.html,,3,11/10/2016
2400000.0,2 bedroom flat for sale,"Lowndes Square, Knightsbridge, SW1X",/property-for-sale/property-55504480.html,SW1X,2,11/10/2016
2375000.0,2 bedroom apartment for sale,"Westbourne Park Villas, London, W2",/property-for-sale/property-44807709.html,W2,2,11/10/2016
2350000.0,3 bedroom flat for sale,"Red Lion Square, Holborn, WC1R",/property-for-sale/property-62458307.html,WC1R,3,11/10/2016
2300000.0,6 bedroom detached house for sale,"Uphill Road, London, London, NW7",/property-for-sale/property-62125172.html,NW7,6,11/10/2016
2300000.0,4 bedroom terraced house for sale,"Doria Road, Fulham SW6 ",/property-for-sale/property-44791737.html,SW6,4,11/10/2016
2295000.0,4 bedroom semi-detached house for sale,"The Hosepipe Factory, Peckham, SE15",/property-for-sale/property-61028588.html,SE15,4,11/10/2016
430000.0,2 bedroom apartment for sale,"Colindale Avenue,
London,
NW9",/new-homes-for-sale/property-62438708.html,NW9,2,11/10/2016
2285000.0,3 bedroom flat for sale,"Salisbury House, Bessborough Gardens, London",/property-for-sale/property-52656988.html,,3,11/10/2016
2285000.0,3 bedroom apartment for sale,"Salisbury House, 3 Drummond Gate, Pimlico, London, SW1V",/property-for-sale/property-39404397.html,SW1V,3,11/10/2016
2275000.0,4 bedroom semi-detached house for sale,"Gatcombe Road, Tufnell Park, London",/property-for-sale/property-55747711.html,,4,11/10/2016
2275000.0,3 bedroom apartment for sale,"Kidderpore Green, Kidderpore Avenue, Hampstead, London, NW3",/new-homes-for-sale/property-56479261.html,NW3,3,11/10/2016
2250000.0,2 bedroom flat for sale,"Montrose Court, Princes Gate, London, SW7",/property-for-sale/property-56484331.html,SW7,2,11/10/2016
2250000.0,2 bedroom apartment for sale,"Great Cumberland Place, London, W1H",/property-for-sale/property-59608169.html,W1H,2,11/10/2016
