price,type,address,url,postcode,number_bedrooms,search_date
3012.0,2 bedroom flat,"Horsley Court, Montaigne Close, London",/property-to-rent/property-44782458.html,,2,11/10/2016
1100.0,1 bedroom flat,"Beaconsfield Road, London",/property-to-rent/property-44818353.html,,1,11/10/2016
1450.0,2 bedroom flat,"Gaumont House,  Marmont Road,  London",/property-to-rent/property-44818389.html,,2,11/10/2016
1257.0,3 bedroom flat,"Lady Hamilton Court,  Holders Hill Avenue,  London",/property-to-rent/property-44818368.html,,3,11/10/2016
1300.0,1 bedroom flat,"Elm Park, London, SW2",/property-to-rent/property-56484454.html,SW2,1,11/10/2016
2167.0,2 bedroom flat,"Charterhouse Buildings, London, EC1M",/property-to-rent/property-56484451.html,EC1M,2,11/10/2016
1950.0,1 bedroom flat,"Cordage House, London, E1W",/property-to-rent/property-56484430.html,E1W,1,11/10/2016
1729.0,2 bedroom flat,"Cleveland Mansions,  Widley Road,  London",/property-to-rent/property-44818311.html,,2,11/10/2016
3300.0,4 bedroom terraced house,"Corrance Road, London, SW2",/property-to-rent/property-56484421.html,SW2,4,11/10/2016
1825.0,2 bedroom flat,"Oval Mansions, London, SE11",/property-to-rent/property-56484415.html,SE11,2,11/10/2016
1500.0,1 bedroom flat,"St John's Hill, London, SW11",/property-to-rent/property-56484406.html,SW11,1,11/10/2016
1668.0,1 bedroom apartment,"Stuart Tower, Maida Vale, London, W9 ",/property-to-rent/property-44818233.html,W9,1,11/10/2016
1695.0,3 bedroom maisonette,"Woking Close, Putney, London, SW15",/property-to-rent/property-56484367.html,SW15,3,11/10/2016
1600.0,2 bedroom apartment,"Wimbledon Park Road, London, SW18",/property-to-rent/property-56484370.html,SW18,2,11/10/2016
1733.0,1 bedroom flat,"Grafton Road, London, NW5",/property-to-rent/property-44818194.html,NW5,1,11/10/2016
4420.0,2 bedroom flat,"Hamilton Terrace, London",/property-to-rent/property-44818170.html,,2,11/10/2016
6283.0,5 bedroom flat,"Strathmore Court, 143 Park Road, London",/property-to-rent/property-44818179.html,,5,11/10/2016
4420.0,3 bedroom flat,"Hamilton Terrace, London",/property-to-rent/property-44818176.html,,3,11/10/2016
1408.0,1 bedroom flat,"Summer Court, Maybury Gardens, Willesden Green, London, NW10",/property-to-rent/property-44818191.html,NW10,1,11/10/2016
1712.0,2 bedroom apartment,"Cavendish House, 6 Boulevard Drive, Beaufort Park, Colindale",/property-to-rent/property-44817306.html,,2,11/10/2016
1408.0,Studio flat,"Vandon Court, 64 Petty France, London",/property-to-rent/property-44818161.html,,0,11/10/2016
1803.0,2 bedroom flat,"Jardine Road, London, E1W",/property-to-rent/property-56474578.html,E1W,2,11/10/2016
2395.0,4 bedroom semi-detached house,"Cleveland Road, London, W13",/property-to-rent/property-56472037.html,W13,4,11/10/2016
1550.0,2 bedroom flat,"Chesterton Close, London, SW18",/property-to-rent/property-56474143.html,SW18,2,11/10/2016
2167.0,2 bedroom flat,"Wharfdale Road, London, N1",/property-to-rent/property-56470432.html,N1,2,11/10/2016
1278.0,Studio flat,"Marchmont Street, London",/property-to-rent/property-56455138.html,,0,11/10/2016
1500.0,2 bedroom apartment,"Putney Heath Lane, Putney, SW15",/property-to-rent/property-62355248.html,SW15,2,11/10/2016
1517.0,1 bedroom semi-detached house,"Cavendish Road, Kilburn, London, NW6",/property-to-rent/property-56019106.html,NW6,1,11/10/2016
2383.0,2 bedroom terraced house,"Gondar Gardens, West Hampstead, London, NW6",/property-to-rent/property-44818215.html,NW6,2,11/10/2016
1350.0,2 bedroom apartment,"Cumberland Road, Northfields, London, W7",/property-to-rent/property-61622828.html,W7,2,11/10/2016
2145.0,2 bedroom flat,"Cumberland Mansions, West End Lane, West Hampstead, London, NW6",/property-to-rent/property-62296181.html,NW6,2,11/10/2016
1473.0,2 bedroom flat,"Kenilworth Road, Kilburn, London, NW6",/property-to-rent/property-44818203.html,NW6,2,11/10/2016
2817.0,2 bedroom semi-detached house,"Hilldrop Crescent, Kentish Town, London, N7",/property-to-rent/property-42650904.html,N7,2,11/10/2016
2167.0,3 bedroom flat,"Summer Court, Maybury Gardens, Willesden Green, London, NW10",/property-to-rent/property-62064362.html,NW10,3,11/10/2016
3878.0,4 bedroom flat,"Melcombe Court, Dorset Square, London",/property-to-rent/property-44818149.html,,4,11/10/2016
4312.0,3 bedroom house,"Ainger Road, London, NW3",/property-to-rent/property-56484286.html,NW3,3,11/10/2016
4030.0,2 bedroom flat,"Hill Street, London",/property-to-rent/property-44818134.html,,2,11/10/2016
1430.0,Studio apartment,"Westworth House, 1 Down Place, W6",/property-to-rent/property-56484310.html,W6,0,11/10/2016
3553.0,2 bedroom flat,"Hill Street, London",/property-to-rent/property-44818125.html,,2,11/10/2016
1950.0,Studio flat,"Hill Street, London",/property-to-rent/property-44818119.html,,0,11/10/2016
1603.0,1 bedroom flat,"Chalk Farm Road, Chalk Farm, London, NW1",/property-to-rent/property-56484304.html,NW1,1,11/10/2016
